nohup: ignoring input
corn8 2018 1
corn8 2018 2
corn8 2018 3
corn8 2018 4
corn8 2018 5
corn8 2018 6
corn8 2018 7
corn8 2018 8
corn8 2018 9
corn8 2018 10
corn8 2018 11
corn8 2018 12
corn9 2018 1
corn9 2018 2
corn9 2018 3
corn9 2018 4
corn9 2018 5
corn9 2018 6
corn9 2018 7
corn9 2018 8
corn9 2018 9
corn9 2018 10
corn9 2018 11
corn9 2018 12
corn10 2018 1
corn10 2018 2
corn10 2018 3
corn10 2018 4
corn10 2018 5
corn10 2018 6
corn10 2018 7
corn10 2018 8
corn10 2018 9
corn10 2018 10
corn10 2018 11
corn10 2018 12
corn11 2018 1
corn11 2018 2
corn11 2018 3
corn11 2018 4
corn11 2018 5
corn11 2018 6
corn11 2018 7
corn11 2018 8
corn11 2018 9
corn11 2018 10
corn11 2018 11
corn11 2018 12
corn12 2018 1
corn12 2018 2
corn12 2018 3
corn12 2018 4
corn12 2018 5
corn12 2018 6
corn12 2018 7
corn12 2018 8
corn12 2018 9
corn12 2018 10
corn12 2018 11
corn12 2018 12
south1 2018 1
south1 2018 2
south1 2018 3
south1 2018 4
south1 2018 5
south1 2018 6
south1 2018 7
south1 2018 8
south1 2018 9
south1 2018 10
south1 2018 11
south1 2018 12
south2 2018 1
south2 2018 2
south2 2018 3
south2 2018 4
south2 2018 5
south2 2018 6
south2 2018 7
south2 2018 8
south2 2018 9
south2 2018 10
south2 2018 11
south2 2018 12
south3 2018 1
south3 2018 2
south3 2018 3
south3 2018 4
south3 2018 5
south3 2018 6
south3 2018 7
south3 2018 8
south3 2018 9
south3 2018 10
south3 2018 11
south3 2018 12
south4 2018 1
south4 2018 2
south4 2018 3
south4 2018 4
south4 2018 5
south4 2018 6
south4 2018 7
south4 2018 8
south4 2018 9
south4 2018 10
south4 2018 11
south4 2018 12
south5 2018 1
south5 2018 2
south5 2018 3
south5 2018 4
south5 2018 5
south5 2018 6
south5 2018 7
south5 2018 8
south5 2018 9
south5 2018 10
south5 2018 11
south5 2018 12
south6 2018 1
south6 2018 2
south6 2018 3
south6 2018 4
south6 2018 5
south6 2018 6
south6 2018 7
south6 2018 8
south6 2018 9
south6 2018 10
south6 2018 11
south6 2018 12
south7 2018 1
south7 2018 2
south7 2018 3
south7 2018 4
south7 2018 5
south7 2018 6
south7 2018 7
south7 2018 8
south7 2018 9
south7 2018 10
south7 2018 11
south7 2018 12
south8 2018 1
south8 2018 2
south8 2018 3
south8 2018 4
south8 2018 5
south8 2018 6
south8 2018 7
south8 2018 8
south8 2018 9
south8 2018 10
south8 2018 11
south8 2018 12
south9 2018 1
south9 2018 2
south9 2018 3
south9 2018 4
south9 2018 5
south9 2018 6
south9 2018 7
south9 2018 8
south9 2018 9
south9 2018 10
south9 2018 11
south9 2018 12
south10 2018 1
south10 2018 2
south10 2018 3
south10 2018 4
south10 2018 5
south10 2018 6
south10 2018 7
south10 2018 8
south10 2018 9
south10 2018 10
south10 2018 11
south10 2018 12
cali1 2019 1
cali1 2019 2
cali1 2019 3
cali1 2019 4
cali1 2019 5
cali1 2019 6
cali1 2019 7
cali1 2019 8
cali1 2019 9
cali1 2019 10
cali1 2019 11
cali1 2019 12
cali2 2019 1
cali2 2019 2
cali2 2019 3
cali2 2019 4
cali2 2019 5
cali2 2019 6
cali2 2019 7
cali2 2019 8
cali2 2019 9
cali2 2019 10
cali2 2019 11
cali2 2019 12
cali3 2019 1
cali3 2019 2
cali3 2019 3
cali3 2019 4
cali3 2019 5
cali3 2019 6
cali3 2019 7
cali3 2019 8
cali3 2019 9
cali3 2019 10
cali3 2019 11
cali3 2019 12
cali4 2019 1
cali4 2019 2
cali4 2019 3
cali4 2019 4
